,Brand,Price,Panel_Type,Display,Screen_Resolution,Brightness,Response_Time,Refresh_Rate
234,MILLENNIUM,"₹2,285",,39.12 cm,HD,,3 ms,60 Hz
235,BenQ,"₹41,998",IPS Panel,68.58 cm,4K Ultra HD,450 nits,5 ms,60 Hz
236,Enter,"₹3,456",,55.88 cm,HD,250 nits,5 ms,60 Hz
237,LG,"₹28,500",VA Panel,86.36 cm,WQHD,300 nits,5 ms,100 Hz
238,Acer,"₹53,999",VA Panel,124.46 cm,Full HD,,4 ms,144 Hz
239,ZEBRONICS,"₹16,999",VA Panel,68.58 cm,Quad HD,300 nits,1 ms,180 Hz
240,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
241,Enter,"₹2,748",,48.26 cm,SXGA,250 nits,5 ms,60 Hz
242,BenQ,"₹28,499",IPS Panel,63.5 cm,Quad HD,350 nits,5 ms,60 Hz
243,HP,"₹11,069",IPS Panel,68.58 cm,Full HD,300 nits,5 ms,60 Hz
244,BenQ,"₹15,735",IPS Panel,68.58 cm,Full HD,400 nits,1 ms,180 Hz
245,Samsung,"₹15,199",VA Panel,68.58 cm,Full HD,,1 ms,165 Hz
246,ViewSonic,"₹11,449",IPS Panel,60.96 cm,Full HD,250 nits,1 ms,180 Hz
247,AOC,"₹12,949",IPS Panel,68.58 cm,Full HD,,,180 Hz
248,MarQ,"₹8,027",VA Panel,55.88 cm,Full HD,220 nits,5 ms,75 Hz
249,Acer,"₹6,299",IPS Panel,54.61 cm,Full HD,250 nits,1 ms,100 Hz
250,Acer,"₹15,499",VA Panel,68.58 cm,WQHD,250 nits,1 ms,180 Hz
251,DELL,"₹37,830",IPS Panel,68.58 cm,4K Ultra HD,,4 ms,120 Hz
252,AOC,"₹9,499",IPS Panel,60.96 cm,Full HD,,,180 Hz
253,DELL,"₹8,799",TN Panel,43.18 cm,HD,,5 ms,60 Hz
254,HP,"₹13,290",IPS Panel,60.45 cm,Full HD,300 nits,5 ms,100 Hz
255,AOC,"₹7,669",,54.61 cm,Full HD,250 nits,8 ms,60 Hz
256,Acer,"₹12,499",IPS Panel,68.58 cm,WQHD,250 nits,1 ms,120 Hz
257,DELL,"₹26,990",IPS Panel,68.58 cm,WQHD,400 nits,1 ms,180 Hz
258,MSI,"₹23,399",IPS Panel,68.58 cm,4K Ultra HD,300 nits,4 ms,60 Hz
259,ASUS,"₹51,990",IPS Panel,68.58 cm,4K Ultra HD,,1 ms,160 Hz
260,Samsung,"₹18,999",VA Panel,80.1 cm,Full HD,250 nits,4 ms,60 Hz
261,ViewSonic,"₹13,499",IPS Panel,68.58 cm,Quad HD,250 nits,1 ms,100 Hz
262,AOC,"₹12,609",IPS Panel,59.94 cm,Full HD,250 nits,1 ms,144 Hz
263,ViewSonic,"₹8,799",IPS Panel,68.58 cm,Full HD,250 nits,1 ms,100 Hz
264,Samsung,"₹9,099",IPS Panel,68.58 cm,Full HD,,5 ms,75 Hz
265,PHILIPS,"₹10,499",,68.58 cm,Full HD,,4 ms,60 Hz
266,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
267,MarQ,"₹7,999",IPS Panel,60.96 cm,Full HD,250 nits,1 ms,165 Hz
268,Acer,"₹19,999",IPS Panel,68.58 cm,4K Ultra HD,350 nits,4 ms,60 Hz
269,Acer,"₹7,416",IPS Panel,60.45 cm,Full HD,,1 ms,120 Hz
270,ZEBSTER,"₹2,595",VA Panel,46.99 cm,HD,220 nits,5 ms,60 Hz
271,HP,"₹4,649",IPS Panel,54.61 cm,Full HD,250 nits,5 ms,60 Hz
272,Acer,"₹30,599",IPS Panel,68.58 cm,UHD,,1 ms,160 Hz
273,BenQ,"₹13,500",IPS Panel,68.58 cm,Full HD,250 nits,5 ms,60 Hz
274,Frontech,"₹5,399",VA Panel,55.88 cm,Full HD,250 nits,5 ms,100 Hz
275,MSI,"₹25,498",IPS Panel,68.58 cm,WQHD,,1 ms,180 Hz
276,ViewSonic,"₹5,499",VA Panel,55.88 cm,Full HD,250 nits,1 ms,100 Hz
277,HP,"₹11,099",IPS Panel,60.45 cm,Full HD,300 nits,5 ms,75 Hz
278,Foxin,"₹9,290",IPS Panel,68.58 cm,Full HD,250 nits,1 ms,100 Hz
279,Lenovo,"₹9,299",IPS Panel,60.45 cm,Full HD,,6 ms,100 Hz
280,MSI,"₹2,601",IPS Panel,62.23 cm,Full HD,,,200 Hz
281,Frontech,"₹17,999",VA Panel,48.26 cm,HD,250 nits,3 ms,75 Hz
282,MSI,"₹10,090",IPS Panel,68.58 cm,WQHD,300 nits,,180 Hz
283,ViewSonic,"₹21,490",IPS Panel,60.96 cm,Full HD,250 nits,1 ms,240 Hz
284,ViewSonic,"₹13,971",IPS Panel,68.58 cm,Quad HD,300 nits,1 ms,240 Hz
285,MSI,"₹1,01,499",IPS Panel,39.62 cm,Full HD,,4 ms,60 Hz
286,MSI,"₹12,729",OLED Panel,81.28 cm,UHD,250 nits,,240 Hz
287,ASUS,"₹11,499",IPS Panel,68.58 cm,Full HD,250 nits,1 ms,75 Hz
288,Samsung,"₹73,499",VA Panel,60.96 cm,Full HD,250 nits,1 ms,165 Hz
